customer_id,first_name,last_name,email,phone,has_email,has_phone,has_contact,city,last_purchase_date,recency_days,frequency,monetary_value,R_score,F_score,M_score,RFM_Score,Segment
2023.0,Reet,Kivi,reet.kivi@hot.ee,+37255017726,True,True,True,Tallinn,2024-01-27,398,1,583.71,1,1,2,4,At Risk
2024.0,Rain,Lõhmus,rain.lohmus@outlook.com,+37252101774,True,True,True,Valga,2025-01-27,32,2,345.93,5,1,1,7,Potential
2025.0,Väino,Lepik,vaino.lepik@gmail.com,+37254491787,True,True,True,Tallinn,2024-12-20,70,6,1804.79,4,5,5,14,VIP Champions
2026.0,Kati,Mitt,kati.mitt@gmail.com,+37253737888,True,True,True,Tallinn,2024-12-07,83,7,1933.66,4,5,5,14,VIP Champions
2027.0,Heli,Laas,heli.laas@mail.ee,+37285466353,True,True,True,Tallinn,2024-12-25,65,4,1357.05,4,4,4,12,Loyal
2028.0,Tiina,Saar,tiina.saar@telia.ee,+37258460072,True,True,True,Tallinn,2024-11-13,107,3,496.83000000000004,4,3,2,9,Potential
2029.0,Meelis,Lill,meelis.lill@gmail.com,+37259919314,True,True,True,Kuressaare,2024-05-26,278,3,1888.0600000000002,2,3,5,10,Loyal
2030.0,Rein,Lill,rein.lill@hot.ee,+37285245422,True,True,True,Tartu,2024-09-21,160,2,2391.13,3,1,5,9,Potential
2031.0,Ants,Kangur,ants.kangur@mail.ee,+37256270543,True,True,True,Narva,2024-11-05,115,6,2052.0499999999997,4,5,5,14,VIP Champions
2032.0,Tiit,Toom,tiit.toom@gmail.com,+37251300048,True,True,True,Tallinn,2024-11-03,117,1,215.58,4,1,1,6,At Risk
2033.0,Rein,Teder,rein.teder@hot.ee,+37283772899,True,True,True,Tallinn,2024-10-11,140,3,950.18,3,3,3,9,Potential
2034.0,Pille,Lepik,pille.lepik@hot.ee,+37289760123,True,True,True,Tallinn,2024-11-16,104,5,1431.18,4,4,5,13,VIP Champions
2035.0,Mihkel,Pärn,mihkel.parn@gmail.com,+37254877733,True,True,True,Viljandi,2024-07-02,241,3,1481.19,2,3,5,10,Loyal
2036.0,Sigrid,Põld,sigrid.pold@gmail.com,+37256959740,True,True,True,Tartu,2024-11-10,110,2,571.48,4,1,2,7,Potential
2037.0,Lea,Veski,lea.veski@telia.ee,+37284137523,True,True,True,Tartu,2024-12-30,60,3,893.3000000000001,4,3,3,10,Loyal
2038.0,Jüri,Kask,juri.kask@telia.ee,+37251233391,True,True,True,Narva,2024-05-11,293,1,1484.2,2,1,5,8,Potential
2040.0,Liina,Lepp,liina.lepp@outlook.com,+37255689499,True,True,True,Pärnu,2024-10-17,134,3,453.53999999999996,3,3,2,8,Potential
2041.0,Riina,Roots,riina.roots@yahoo.com,+37251157136,True,True,True,Tallinn,2023-03-06,725,2,1275.25,1,1,4,6,At Risk
2042.0,Merike,Laas,merike.laas@hot.ee,+37259194009,True,True,True,Tartu,2024-09-29,152,2,147.0,3,1,1,5,At Risk
2044.0,Lauri,Aas,lauri.aas@outlook.com,+37253319744,True,True,True,Tallinn,2024-11-13,107,3,419.37,4,3,2,9,Potential
2046.0,Henri,Lepik,henri.lepik@telia.ee,+37285589381,True,True,True,Tartu,2024-11-22,98,7,1422.57,4,5,4,13,VIP Champions
2047.0,Ants,Lepp,ants.lepp@yahoo.com,+37251220970,True,True,True,Tallinn,2024-04-22,312,1,196.91,2,1,1,4,At Risk
2048.0,Mart,Mets,mart.mets@outlook.com,+37284863925,True,True,True,Tartu,2024-11-06,114,2,264.74,4,1,1,6,At Risk
2049.0,Raivo,Salu,raivo.salu@yahoo.com,+37286901476,True,True,True,Haapsalu,2024-11-03,117,4,1364.73,4,4,4,12,Loyal
2050.0,Tiina,Toom,,+37251276422,False,True,True,Paide,2024-11-03,117,3,591.24,4,3,2,9,Potential
2051.0,Ene,Arro,,+37259746112,False,True,True,Tallinn,2025-01-12,47,3,956.89,5,3,3,11,Loyal
2052.0,Annika,Järv,annika.jarv@hot.ee,+37285339583,True,True,True,Tartu,2024-10-08,143,3,1073.25,3,3,4,10,Loyal
2053.0,Sigrid,Vaher,sigrid.vaher@yahoo.com,+37251991707,True,True,True,Tallinn,2024-04-15,319,4,1198.6200000000001,2,4,4,10,Loyal
2054.0,Aili,Veski,aili.veski@mail.ee,+37255884718,True,True,True,Pärnu,2024-05-27,277,4,913.91,2,4,3,9,Potential
2055.0,Rain,Salu,rain.salu@gmail.com,+37254105150,True,True,True,Jõhvi,2024-11-28,92,2,494.63,4,1,2,7,Potential
2056.0,Hille,Kull,hille.kull@yahoo.com,+37255429950,True,True,True,Narva,2025-01-30,29,3,226.03,5,3,1,9,Potential
2058.0,Laura,Vaher,laura.vaher@telia.ee,+37251104044,True,True,True,Tartu,2025-02-17,11,1,312.26,5,1,1,7,Potential
2059.0,Tiina,Järv,tiina.jarv@telia.ee,+37255822155,True,True,True,Tallinn,2024-12-09,81,4,1044.97,4,4,4,12,Loyal
2061.0,Toomas,Rosin,toomas.rosin@gmail.com,+37285680927,True,True,True,Paide,2023-04-19,681,1,57.08,1,1,1,3,Lost
2062.0,Triin,Lill,triin.lill@mail.ee,+37251337031,True,True,True,Viljandi,2024-12-19,71,2,387.70000000000005,4,1,2,7,Potential
2063.0,Jüri,Roots,juri.roots@gmail.com,+37255157525,True,True,True,Tallinn,2024-04-02,332,1,81.48,1,1,1,3,Lost
2064.0,Väino,Kuusik,vaino.kuusik@hot.ee,+37254566379,True,True,True,Tartu,2024-08-20,192,4,900.95,3,4,3,10,Loyal
2065.0,Priit,Tammik,priit.tammik@telia.ee,+37285787870,True,True,True,Tallinn,2024-07-23,220,1,45.21,2,1,1,4,At Risk
2066.0,Lauri,Paju,lauri.paju@telia.ee,+37252030440,True,True,True,Valga,2024-07-02,241,2,351.95000000000005,2,1,2,5,At Risk
2067.0,Marko,Pärn,marko.parn@hot.ee,+37253815096,True,True,True,Rakvere,2024-11-05,115,3,709.47,4,3,3,10,Loyal
2068.0,Ülle,Valk,ulle.valk@outlook.com,+37289077546,True,True,True,Pärnu,2024-12-10,80,4,783.78,4,4,3,11,Loyal
2069.0,Erkki,Luik,erkki.luik@yahoo.com,+37254301511,True,True,True,Paide,2025-02-05,23,4,1310.02,5,4,4,13,VIP Champions
2070.0,Pille,Rebane,pille.rebane@gmail.com,+37257248235,True,True,True,Haapsalu,2025-02-01,27,5,1741.54,5,4,5,14,VIP Champions
2071.0,Tarmo,Põld,tarmo.pold@outlook.com,+37253299544,True,True,True,Tartu,2024-05-15,289,5,493.20000000000005,2,4,2,8,Potential
2072.0,Heino,Tammik,,+37258097655,False,True,True,Tallinn,2025-02-11,17,2,541.34,5,1,2,8,Potential
2073.0,Madis,Roots,madis.roots@mail.ee,+37252357953,True,True,True,Valga,2024-01-24,401,2,2233.7000000000003,1,1,5,7,Potential
2074.0,Kalev,Raud,kalev.raud@hot.ee,+37282448155,True,True,True,Tartu,2023-09-21,526,3,1231.97,1,3,4,8,Potential
2075.0,Piret,Lõoke,piret.looke@outlook.com,+37259899847,True,True,True,Kuressaare,2024-12-21,69,3,581.54,4,3,2,9,Potential
2076.0,Terje,Nurk,terje.nurk@hot.ee,+37255761836,True,True,True,Kuressaare,2024-01-24,401,1,351.62,1,1,2,4,At Risk
2077.0,Siim,Must,siim.must@outlook.com,+37258694963,True,True,True,Tallinn,2024-12-31,59,4,1632.05,5,4,5,14,VIP Champions
2078.0,Aili,Paas,aili.paas@yahoo.com,+37256483852,True,True,True,Tallinn,2023-09-08,539,3,659.35,1,3,3,7,Potential
2079.0,Tiit,Talvik,tiit.talvik@gmail.com,+37285467077,True,True,True,Tartu,2024-09-21,160,2,187.20999999999998,3,1,1,5,At Risk
2080.0,Tiina,Kangur,tiina.kangur@gmail.com,+37252326471,True,True,True,Tartu,2024-08-14,198,3,1063.2,3,3,4,10,Loyal
2081.0,Kaido,Lass,kaido.lass@telia.ee,+37254997023,True,True,True,Tartu,2024-03-31,334,3,792.99,1,3,3,7,Potential
2082.0,Kristi,Rebane,kristi.rebane@hot.ee,+37285185264,True,True,True,Võru,2024-09-30,151,2,520.61,3,1,2,6,At Risk
2083.0,Heino,Kuusk,heino.kuusk@mail.ee,+37252691935,True,True,True,Valga,2025-02-27,1,2,605.69,5,1,2,8,Potential
2084.0,Grete,Must,grete.must@yahoo.com,+37259275478,True,True,True,Tallinn,2024-09-12,169,2,527.21,3,1,2,6,At Risk
2085.0,Henri,Lill,henri.lill@gmail.com,+37255640190,True,True,True,Tartu,2024-12-25,65,4,606.26,4,4,2,10,Loyal
2087.0,Taavi,Sepp,taavi.sepp@telia.ee,+37252088747,True,True,True,Tallinn,2024-08-04,208,3,936.1800000000001,2,3,3,8,Potential
2088.0,Pille,Paas,,+37282880827,False,True,True,Tartu,2024-09-10,171,1,439.66,3,1,2,6,At Risk
2090.0,Taavi,Koppel,taavi.koppel@yahoo.com,+37257739970,True,True,True,Tartu,2024-08-23,189,3,935.06,3,3,3,9,Potential
2091.0,Rasmus,Mägi,rasmus.magi@mail.ee,+37257370245,True,True,True,Pärnu,2024-08-06,206,2,1216.95,2,1,4,7,Potential
2092.0,Ene,Pihl,ene.pihl@telia.ee,+37287006461,True,True,True,Tartu,2024-04-19,315,1,405.04,2,1,2,5,At Risk
2093.0,Merike,Luik,merike.luik@gmail.com,+37258792212,True,True,True,Tartu,2023-12-24,432,4,1511.21,1,4,5,10,Loyal
2095.0,Madis,Lill,madis.lill@telia.ee,+37254019865,True,True,True,Kuressaare,2024-02-05,389,5,1055.76,1,4,4,9,Potential
2096.0,Reet,Laas,reet.laas@gmail.com,+37251694265,True,True,True,Viljandi,2024-05-18,286,4,1000.87,2,4,4,10,Loyal
2097.0,Kati,Aas,kati.aas@telia.ee,+37257593173,True,True,True,Valga,2024-10-28,123,5,715.54,3,4,3,10,Loyal
2098.0,Karin,Rebane,karin.rebane@hot.ee,+37258021459,True,True,True,Tallinn,2024-08-21,191,1,225.36,3,1,1,5,At Risk
2099.0,Madis,Toom,madis.toom@gmail.com,+37253440824,True,True,True,Kuressaare,2024-11-14,106,5,1199.12,4,4,4,12,Loyal
2100.0,Rein,Arro,rein.arro@hot.ee,+37259719753,True,True,True,Tartu,2024-04-12,322,1,80.39,2,1,1,4,At Risk
2103.0,Kadri,Kivi,kadri.kivi@gmail.com,+37257293115,True,True,True,Tallinn,2024-08-26,186,2,312.33000000000004,3,1,1,5,At Risk
2104.0,Sandra,Lass,sandra.lass@mail.ee,+37252814518,True,True,True,Tallinn,2024-08-30,182,4,1285.72,3,4,4,11,Loyal
2106.0,Arvo,Kull,arvo.kull@hot.ee,+37254537506,True,True,True,Jõhvi,2025-02-02,26,3,692.29,5,3,3,11,Loyal
2107.0,Heino,Rosin,,+37281499823,False,True,True,Tallinn,2024-08-24,188,3,997.6400000000001,3,3,4,10,Loyal
2108.0,Väino,Nurk,vaino.nurk@mail.ee,+37258750508,True,True,True,Tartu,2024-11-08,112,6,2169.41,4,5,5,14,VIP Champions
2109.0,Toomas,Männik,toomas.mannik@telia.ee,+37252419493,True,True,True,Tallinn,2024-07-03,240,1,121.51,2,1,1,4,At Risk
2110.0,Kristi,Talvik,kristi.talvik@outlook.com,+37288617656,True,True,True,Tartu,2024-01-12,413,4,405.04,1,4,2,7,Potential
2111.0,Urmas,Rand,,+37251198966,False,True,True,Kuressaare,2024-10-26,125,3,1918.08,3,3,5,11,Loyal
2112.0,Madis,Salu,,+37281182947,False,True,True,Haapsalu,2024-10-15,136,3,820.4200000000001,3,3,3,9,Potential
2113.0,Lea,Kangur,lea.kangur@yahoo.com,+37255764894,True,True,True,Tallinn,2024-05-19,285,2,189.08,2,1,1,4,At Risk
2114.0,Kristi,Lill,kristi.lill@yahoo.com,+37259768988,True,True,True,Narva,2024-04-03,331,3,1037.37,1,3,4,8,Potential
2115.0,Anu,Sild,anu.sild@yahoo.com,+37286621567,True,True,True,Haapsalu,2025-02-15,13,6,1635.44,5,5,5,15,VIP Champions
2117.0,Merike,Koppel,merike.koppel@outlook.com,+37286852998,True,True,True,Tallinn,2024-09-21,160,4,2215.73,3,4,5,12,Loyal
2118.0,Rasmus,Sepp,rasmus.sepp@gmail.com,+37282585466,True,True,True,Tallinn,2024-11-18,102,3,611.11,4,3,2,9,Potential
2119.0,Meelis,Ilves,meelis.ilves@gmail.com,+37287225280,True,True,True,Tallinn,2025-01-08,51,6,1243.09,5,5,4,14,VIP Champions
2120.0,Grete,Kukk,grete.kukk@hot.ee,+37285983456,True,True,True,Valga,2024-06-05,268,3,805.1300000000001,2,3,3,8,Potential
2121.0,Katrin,Roots,katrin.roots@gmail.com,+37253979270,True,True,True,Tallinn,2024-07-06,237,2,302.84000000000003,2,1,1,4,At Risk
2122.0,Sander,Nõmm,sander.nomm@mail.ee,+37256012792,True,True,True,Tartu,2023-02-07,752,1,16.62,1,1,1,3,Lost
2123.0,Peeter,Veski,peeter.veski@outlook.com,+37281368711,True,True,True,Tallinn,2025-02-25,3,3,983.6700000000001,5,3,4,12,Loyal
2124.0,Mart,Rebane,mart.rebane@telia.ee,+37257999521,True,True,True,Tallinn,2024-07-09,234,2,363.28000000000003,2,1,2,5,At Risk
2126.0,Terje,Kangur,terje.kangur@yahoo.com,+37257386299,True,True,True,Pärnu,2024-12-30,60,2,263.86,4,1,1,6,At Risk
2127.0,Karin,Männik,karin.mannik@gmail.com,+37251713304,True,True,True,Tallinn,2024-02-13,381,1,334.46,1,1,1,3,Lost
2128.0,Kristi,Kuusk,kristi.kuusk@gmail.com,+37257098624,True,True,True,Tartu,2023-11-11,475,3,800.3199999999999,1,3,3,7,Potential
2129.0,Anu,Oja,anu.oja@mail.ee,+37285718445,True,True,True,Tallinn,2023-12-12,444,2,197.7,1,1,1,3,Lost
2130.0,Marko,Kaalep,marko.kaalep@mail.ee,+37288894959,True,True,True,Tallinn,2024-07-27,216,3,941.0699999999999,2,3,3,8,Potential
2132.0,Sigrid,Paas,sigrid.paas@gmail.com,+37257155610,True,True,True,Paide,2024-09-04,177,6,1806.17,3,5,5,13,VIP Champions
2133.0,Margus,Roots,margus.roots@mail.ee,+37287293324,True,True,True,Tallinn,2025-02-18,10,2,350.75,5,1,2,8,Potential
2136.0,Hille,Nõmm,hille.nomm@mail.ee,+37286175027,True,True,True,Tallinn,2023-09-25,522,2,1102.95,1,1,4,6,At Risk
2137.0,Margus,Kallas,margus.kallas@telia.ee,+37254204020,True,True,True,Tartu,2024-07-11,232,3,674.3,2,3,3,8,Potential
2139.0,Grete,Luik,grete.luik@mail.ee,+37285990202,True,True,True,Rakvere,2024-05-07,297,2,284.13,2,1,1,4,At Risk
2140.0,Henri,Salu,henri.salu@mail.ee,+37285107220,True,True,True,Tartu,2024-11-14,106,1,451.62,4,1,2,7,Potential
2141.0,Aivar,Lepik,aivar.lepik@mail.ee,+37288279138,True,True,True,Kuressaare,2024-09-14,167,3,678.09,3,3,3,9,Potential
2142.0,Henri,Mitt,henri.mitt@telia.ee,+37259943161,True,True,True,Tartu,2024-10-26,125,4,572.59,3,4,2,9,Potential
2143.0,Piret,Nõmm,piret.nomm@hot.ee,+37259631690,True,True,True,Narva,2024-07-23,220,7,1863.9699999999998,2,5,5,12,Loyal
2144.0,Priit,Orav,priit.orav@telia.ee,+37257471562,True,True,True,Narva,2024-12-18,72,1,210.76,4,1,1,6,At Risk
2147.0,Anna,Sepp,anna.sepp@outlook.com,+37281522970,True,True,True,Tallinn,2024-12-15,75,1,558.86,4,1,2,7,Potential
2148.0,Madis,Lass,madis.lass@telia.ee,+37259988801,True,True,True,Rakvere,2024-11-13,107,1,411.78,4,1,2,7,Potential
2149.0,Ago,Rand,ago.rand@yahoo.com,+37256804493,True,True,True,Pärnu,2024-06-28,245,2,543.76,2,1,2,5,At Risk
2150.0,Külli,Talvik,kulli.talvik@telia.ee,+37251189029,True,True,True,Paide,2025-02-17,11,1,229.55,5,1,1,7,Potential
2151.0,Tõnu,Valk,,+37251712151,False,True,True,Pärnu,2025-01-01,58,1,446.95,5,1,2,8,Potential
2153.0,Maie,Roots,maie.roots@hot.ee,+37253918633,True,True,True,Pärnu,2024-05-05,299,2,397.71,2,2,2,6,At Risk
2154.0,Annika,Saar,annika.saar@telia.ee,+37281719699,True,True,True,Viljandi,2025-02-18,10,66,20726.79,5,5,5,15,VIP Champions
2156.0,Rasmus,Rosin,rasmus.rosin@hot.ee,+37255902916,True,True,True,Tallinn,2024-12-15,75,5,1149.93,4,4,4,12,Loyal
2157.0,Raivo,Salu,raivo.salu2@yahoo.com,+37259808899,True,True,True,Tartu,2025-02-05,23,2,1131.46,5,2,4,11,Loyal
2158.0,Rein,Kull,rein.kull@telia.ee,+37256298741,True,True,True,Haapsalu,2024-10-06,145,2,1207.22,3,2,4,9,Potential
2159.0,Rein,Luik,,+37253090726,False,True,True,Kuressaare,2024-02-18,376,2,1070.58,1,2,4,7,Potential
2160.0,Rein,Sild,rein.sild@hot.ee,+37284453307,True,True,True,Haapsalu,2024-02-02,392,2,598.4300000000001,1,2,2,5,At Risk
2162.0,Ants,Kangur,ants.kangur@telia.ee,+37286639328,True,True,True,Tallinn,2024-09-16,165,2,451.82,3,2,2,7,Potential
2163.0,Kadri,Kull,kadri.kull@hot.ee,+37288167765,True,True,True,Viljandi,2025-02-20,8,5,2542.08,5,4,5,14,VIP Champions
2164.0,Kadri,Saar,kadri.saar@hot.ee,+37288245879,True,True,True,Narva,2024-02-08,386,1,205.0,1,1,1,3,Lost
2165.0,Rain,Luik,rain.luik@telia.ee,+37253436808,True,True,True,Tartu,2024-10-22,129,3,902.9,3,3,3,9,Potential
2166.0,Indrek,Järv,indrek.jarv@telia.ee,+37256049221,True,True,True,Tartu,2024-11-22,98,1,232.61,4,1,1,6,At Risk
2167.0,Ants,Kaalep,,+37257542584,False,True,True,Tallinn,2024-10-10,141,5,2032.9099999999999,3,4,5,12,Loyal
2168.0,Priit,Luik,priit.luik@outlook.com,+37257138612,True,True,True,Tallinn,2023-05-01,669,3,881.22,1,3,3,7,Potential
2169.0,Henri,Kangur,henri.kangur@mail.ee,+37251037400,True,True,True,Tallinn,2024-08-12,200,1,53.01,3,1,1,5,At Risk
2170.0,Lea,Aas,lea.aas@hot.ee,+37259003376,True,True,True,Pärnu,2025-02-05,23,1,327.28,5,1,1,7,Potential
2172.0,Eha,Kivi,eha.kivi@hot.ee,+37288262105,True,True,True,Tallinn,2024-01-24,401,2,746.53,1,2,3,6,At Risk
2174.0,Piret,Kask,piret.kask@telia.ee,+37285295792,True,True,True,Jõhvi,2024-07-28,215,3,2285.2200000000003,2,3,5,10,Loyal
2175.0,Olev,Kull,olev.kull@hot.ee,+37282665120,True,True,True,Valga,2024-10-28,123,6,1342.4,3,5,4,12,Loyal
2176.0,Sandra,Pihl,sandra.pihl@mail.ee,+37257890040,True,True,True,Haapsalu,2024-09-16,165,3,777.0,3,3,3,9,Potential
2177.0,Reet,Liiv,reet.liiv@telia.ee,+37252255120,True,True,True,Pärnu,2023-11-26,460,1,141.05,1,1,1,3,Lost
2178.0,Karin,Oja,karin.oja@mail.ee,+37253435328,True,True,True,Tallinn,2026-03-11,-376,5,1878.1399999999999,5,4,5,14,VIP Champions
2179.0,Piret,Must,piret.must@yahoo.com,+37259091794,True,True,True,Tartu,2024-10-09,142,4,1374.26,3,4,4,11,Loyal
2180.0,Sirje,Kangur,sirje.kangur@outlook.com,+37258584720,True,True,True,Rakvere,2023-04-12,688,2,1451.98,1,2,5,8,Potential
2182.0,Jaak,Kallas,jaak.kallas@hot.ee,+37254996869,True,True,True,Tallinn,2024-12-22,68,1,26.79,4,1,1,6,At Risk
2183.0,Kevin,Puusepp,kevin.puusepp@yahoo.com,+37285808273,True,True,True,Tallinn,2024-06-13,260,7,2139.4700000000003,2,5,5,12,Loyal
2184.0,Ragnar,Kõiv,ragnar.koiv@yahoo.com,+37255086397,True,True,True,Valga,2023-11-22,464,2,553.85,1,2,2,5,At Risk
2186.0,Triin,Tamm,triin.tamm@mail.ee,+37252676016,True,True,True,Tallinn,2024-03-24,341,2,240.06,1,2,1,4,At Risk
2187.0,Aili,Paas,aili.paas@outlook.com,+37253909516,True,True,True,Narva,2024-12-09,81,5,1175.46,4,5,4,13,VIP Champions
2189.0,Toomas,Koppel,toomas.koppel@outlook.com,+37287298114,True,True,True,Jõhvi,2023-08-06,572,1,110.7,1,1,1,3,Lost
2190.0,Väino,Mitt,vaino.mitt@yahoo.com,+37256090658,True,True,True,Tartu,2025-01-21,38,2,942.11,5,2,3,10,Loyal
2191.0,Mihkel,Pihl,mihkel.pihl@hot.ee,+37253405326,True,True,True,Tallinn,2024-08-15,197,4,924.33,3,4,3,10,Loyal
2192.0,Marit,Talvik,marit.talvik@mail.ee,+37251895915,True,True,True,Kuressaare,2024-12-23,67,8,2695.53,4,5,5,14,VIP Champions
2193.0,Urmas,Toom,urmas.toom@yahoo.com,+37255094431,True,True,True,Tallinn,2024-12-05,85,3,1066.29,4,3,4,11,Loyal
2195.0,Kersti,Mets,kersti.mets@gmail.com,+37259798532,True,True,True,Tallinn,2025-02-15,13,3,523.79,5,3,2,10,Loyal
2196.0,Marika,Must,marika.must@outlook.com,+37288574778,True,True,True,Pärnu,2026-04-14,-410,11,4480.32,5,5,5,15,VIP Champions
2197.0,Sandra,Nõmm,sandra.nomm@yahoo.com,+37257619083,True,True,True,Valga,2024-12-14,76,4,2231.4,4,4,5,13,VIP Champions
2198.0,Ülle,Põld,ulle.pold@mail.ee,+37251181864,True,True,True,Tallinn,2025-01-22,37,1,458.02,5,1,2,8,Potential
2199.0,Riina,Luik,riina.luik@mail.ee,+37258398084,True,True,True,Pärnu,2024-11-26,94,1,347.16,4,1,1,6,At Risk
2200.0,Urmas,Laas,urmas.laas@outlook.com,+37256933170,True,True,True,Tartu,2024-07-21,222,5,1998.45,2,5,5,12,Loyal
2201.0,Kevin,Pihl,kevin.pihl@gmail.com,+37251291969,True,True,True,Tartu,2024-06-16,257,2,172.52,2,2,1,5,At Risk
2202.0,Indrek,Org,indrek.org@yahoo.com,+37256781013,True,True,True,Tallinn,2024-07-06,237,3,1708.3400000000001,2,3,5,10,Loyal
2203.0,Ago,Kukk,,+37256680293,False,True,True,Pärnu,2024-09-24,157,3,925.97,3,3,3,9,Potential
2204.0,Ene,Org,ene.org@outlook.com,+37257540430,True,True,True,Tartu,2025-02-24,4,1,166.27,5,1,1,7,Potential
2205.0,Liina,Kivi,,+37255867275,False,True,True,Tallinn,2024-03-29,336,3,1127.92,1,3,4,8,Potential
2206.0,Ago,Lõoke,,+37251355389,False,True,True,Viljandi,2024-08-11,201,5,628.34,3,5,2,10,Loyal
2207.0,Kalev,Mägi,kalev.magi@yahoo.com,+37288952450,True,True,True,Viljandi,2025-01-14,45,3,939.4599999999999,5,3,3,11,Loyal
2208.0,Rasmus,Rand,rasmus.rand@mail.ee,+37255806096,True,True,True,Tallinn,2024-11-13,107,6,2265.19,4,5,5,14,VIP Champions
2209.0,Kersti,Ilves,kersti.ilves@telia.ee,+37255579727,True,True,True,Tallinn,2024-08-11,201,3,995.6400000000001,3,3,4,10,Loyal
2210.0,Ülle,Kaalep,ulle.kaalep@mail.ee,+37259362905,True,True,True,Valga,2024-11-28,92,2,723.3299999999999,4,2,3,9,Potential
2211.0,Kevin,Pihl,kevin.pihl2@gmail.com,+37259794589,True,True,True,Tallinn,2024-05-12,292,3,760.31,2,3,3,8,Potential
2212.0,Henri,Roots,,+37286418270,False,True,True,Pärnu,2023-08-08,570,3,918.91,1,3,3,7,Potential
2213.0,Pille,Veski,,+37256993149,False,True,True,Rakvere,2024-09-17,164,3,1046.18,3,3,4,10,Loyal
2214.0,Maris,Lepp,maris.lepp@telia.ee,+37252038582,True,True,True,Võru,2023-03-26,705,1,574.44,1,1,2,4,At Risk
2215.0,Karin,Kaalep,karin.kaalep@gmail.com,+37284880716,True,True,True,Tallinn,2025-01-27,32,6,1537.23,5,5,5,15,VIP Champions
2216.0,Mihkel,Org,mihkel.org@telia.ee,+37255395996,True,True,True,Pärnu,2024-03-16,349,2,341.6,1,2,1,4,At Risk
2217.0,Aivar,Paas,aivar.paas@telia.ee,+37259312062,True,True,True,Tallinn,2024-08-07,205,5,1171.04,2,5,4,11,Loyal
2218.0,Riina,Lepp,riina.lepp@outlook.com,+37286148213,True,True,True,Paide,2024-12-22,68,4,1374.1,4,4,4,12,Loyal
2219.0,Arvo,Tammik,arvo.tammik@outlook.com,+37258789016,True,True,True,Narva,2024-10-08,143,1,181.11,3,1,1,5,At Risk
2220.0,Reet,Lepp,reet.lepp@outlook.com,+37257954198,True,True,True,Rakvere,2024-11-29,91,3,722.73,4,3,3,10,Loyal
2221.0,Riina,Lill,riina.lill@mail.ee,+37254995996,True,True,True,Pärnu,2025-12-14,-289,65,21610.39,5,5,5,15,VIP Champions
2222.0,Marko,Nõmm,marko.nomm@telia.ee,+37256754687,True,True,True,Tallinn,2024-12-12,78,6,1309.96,4,5,4,13,VIP Champions
2223.0,Meelis,Kivi,,+37258420762,False,True,True,Tartu,2023-07-25,584,3,784.34,1,3,3,7,Potential
2225.0,Meelis,Tamm,meelis.tamm@yahoo.com,+37281667146,True,True,True,Tallinn,2025-02-01,27,5,1044.45,5,5,4,14,VIP Champions
